date,open,high,low,close,volume
2025-11-06,155000.0,156470.76,153529.24,155000.0,444338
2025-11-07,155962.58,159935.78,155962.58,158663.47,433092
2025-11-08,159159.06,160594.52,157324.22,158959.37,76542
2025-11-09,160700.89,163146.22,160351.59,161748.91,120818
2025-11-10,162156.06,162156.06,157020.93,157724.74,194417
2025-11-11,158902.4,161507.48,158902.4,160508.58,107908
2025-11-12,162042.18,162042.18,156931.24,158220.95,492042
2025-11-13,154192.06,161737.38,154192.06,160595.89,386972
2025-11-14,160613.14,160613.14,156943.98,158042.96,470000
2025-11-15,159905.53,160314.37,157139.48,158726.93,162663
2025-11-16,161112.58,161112.58,157632.85,158520.06,154076
2025-11-17,161627.25,161627.25,158420.23,159998.6,284809
2025-11-18,160235.54,160235.54,157591.19,158489.59,222494
2025-11-19,157579.53,159723.12,157579.53,158810.41,407331
2025-11-20,156595.98,158583.14,156595.98,157609.85,348014
2025-11-21,158211.89,161698.97,158211.89,160755.93,400504
2025-11-22,160786.23,163359.68,160643.95,162001.82,188469
2025-11-23,160340.05,160340.05,158389.92,159235.0,237293
2025-11-24,157821.72,164472.33,157821.72,162982.71,279910
2025-11-25,162259.6,166370.52,162259.6,164677.67,183528
2025-11-26,164751.31,164751.31,161000.68,161783.48,220238
2025-11-27,161538.79,167444.8,161538.79,166016.11,294656
2025-11-28,164226.14,167189.85,164226.14,165931.97,462897
2025-11-29,168508.22,170874.92,168508.22,170140.79,352315
2025-11-30,167748.62,172047.71,167748.62,170531.56,99958
2025-12-01,171261.12,171700.48,170245.15,170972.81,181758
2025-12-02,170459.22,173135.95,169296.79,171216.37,266053
2025-12-03,174320.48,174320.48,167195.5,168198.81,251399
2025-12-04,165279.85,171450.29,165279.85,169861.28,217453
2025-12-05,170718.23,170718.23,165793.54,167207.53,397305
2025-12-06,168708.66,168708.66,160014.26,161567.11,220742
2025-12-07,160890.19,166817.29,160890.19,165161.91,152165
2025-12-08,164706.74,164706.74,159293.8,160898.05,247581
2025-12-09,161154.03,164102.32,161154.03,162628.58,235346
2025-12-10,160215.08,167224.11,160215.08,166195.91,398638
2025-12-11,162743.02,166119.46,162743.02,165403.86,194526
2025-12-12,162534.54,163493.68,160786.61,162140.14,111536
2025-12-13,160835.34,164501.99,160835.34,162745.9,487103
2025-12-14,163020.66,163020.66,157134.75,158436.96,100386
2025-12-15,159672.36,159672.36,157687.78,158514.39,148790
2025-12-16,161386.6,162284.79,160097.01,161190.9,439458
2025-12-17,161859.45,161859.45,157054.42,158786.09,155851
2025-12-18,159950.55,159950.55,155044.76,155741.47,209816
2025-12-19,155059.39,155059.39,151723.77,153199.55,355718
2025-12-20,151928.75,153235.86,151689.29,152462.58,321871
2025-12-21,154086.02,154086.02,151016.2,152233.24,242255
2025-12-22,149471.87,151974.37,148728.25,150351.31,275180
2025-12-23,151652.73,153380.41,151340.43,152360.42,130296
2025-12-24,149937.44,155489.05,149937.44,154572.94,395248
2025-12-25,153355.27,153355.27,149854.31,151148.2,287292
2025-12-26,151174.59,154908.25,151174.59,153752.19,300840
2025-12-27,153808.32,154690.14,151457.95,153074.04,376612
2025-12-28,153758.78,155995.21,153747.56,154871.39,153795
2025-12-29,158869.53,158869.53,151330.19,152164.35,451850
2025-12-30,152399.85,156844.28,152399.85,155341.78,274347
2025-12-31,154990.06,159031.8,154990.06,158127.16,276618
2026-01-01,158419.39,164423.42,158419.39,163258.05,386100
2026-01-02,161706.73,164423.53,161706.73,163233.4,206578
2026-01-03,162352.54,165759.35,162352.54,164376.36,315616
2026-01-04,163238.98,165816.52,163238.98,164708.34,262066
2026-01-05,165874.05,165874.05,163060.88,164152.06,444719
2026-01-06,167480.99,167501.89,164166.02,165833.96,68254
2026-01-07,166464.57,168613.29,166464.57,167781.71,203571
2026-01-08,167958.81,171496.49,167958.81,170382.75,553270
2026-01-09,169469.37,174356.36,169469.37,173089.85,409648
2026-01-10,172932.97,174823.42,171497.95,173160.68,136786
2026-01-11,172490.05,175881.09,172490.05,175001.36,195807
2026-01-12,170586.34,174141.32,170586.34,173065.52,298234
2026-01-13,177332.68,179224.77,175597.28,177411.02,202683
2026-01-14,174890.1,186213.34,174890.1,185469.0,244613
2026-01-15,183545.97,183545.97,181271.63,182372.12,351550
2026-01-16,183433.2,183433.2,179818.19,181110.51,52562
2026-01-17,182090.43,182090.43,176752.69,178629.19,172602
2026-01-18,181090.51,181090.51,174350.69,175834.12,159897
2026-01-19,177444.33,177444.33,171517.17,172799.63,185189
2026-01-20,171190.94,171756.0,168089.75,169922.88,363750
2026-01-21,171723.05,171723.05,166253.86,167402.07,354316
2026-01-22,167081.12,167081.12,164027.27,165197.7,172733
2026-01-23,168120.9,168120.9,160482.28,162051.2,413974
2026-01-24,162853.94,162853.94,158451.18,159250.94,538911
2026-01-25,158222.15,162681.89,158222.15,161255.45,120598
2026-01-26,161510.01,163226.13,161010.77,162118.45,174338
2026-01-27,160754.28,162354.3,159103.49,160728.9,369866
2026-01-28,163398.33,163398.33,155637.86,157125.33,398469
2026-01-29,154762.64,159377.0,154762.64,158700.18,232633
2026-01-30,157428.19,157775.09,155980.09,156877.59,305102
2026-01-31,156064.52,157478.0,155665.46,156571.73,235204
2026-02-01,157285.17,157285.17,154586.27,155643.94,217515
2026-02-02,157050.74,160266.92,157050.74,158694.63,263349
2026-02-03,159074.63,162133.14,159025.44,160579.29,409557
