date,product_id,product_name,amazon,flipkart,jiomart,blinkit,zepto,dmart_ready
2024-02-08,P009,Fortune Sunflower Oil 1L,138.9,139.49,129.34,141.11,147.92,125.71
2024-02-09,P009,Fortune Sunflower Oil 1L,137.77,142.07,137.5,147.11,147.52,137.87
2024-02-10,P009,Fortune Sunflower Oil 1L,143.02,143.45,136.89,147.31,146.74,126.62
2024-02-11,P009,Fortune Sunflower Oil 1L,131.78,142.09,136.23,148.48,141.71,130.8
2024-02-12,P009,Fortune Sunflower Oil 1L,139.06,146.77,133.25,151.54,152.45,138.01
2024-02-13,P009,Fortune Sunflower Oil 1L,135.39,143.68,128.19,149.92,139.87,132.8
2024-02-14,P009,Fortune Sunflower Oil 1L,143.04,140.57,137.06,147.97,151.65,135.62
2024-02-15,P009,Fortune Sunflower Oil 1L,133.12,134.97,134.24,140.2,145.94,129.64
2024-02-16,P009,Fortune Sunflower Oil 1L,142.25,141.74,131.22,144.05,147.64,132.99
2024-02-17,P009,Fortune Sunflower Oil 1L,141.49,144.96,135.2,147.78,143.66,132.4
2024-02-18,P009,Fortune Sunflower Oil 1L,143.11,145.44,134.5,152.65,149.91,132.14
2024-02-19,P009,Fortune Sunflower Oil 1L,140.09,146.22,134.3,150.76,149.5,133.94
2024-02-20,P009,Fortune Sunflower Oil 1L,144.82,140.49,137.74,153.13,152.86,130.93
2024-02-21,P009,Fortune Sunflower Oil 1L,143.55,140.63,132.55,146.92,144.22,129.61
2024-02-22,P009,Fortune Sunflower Oil 1L,143.85,149.39,141.2,154.36,151.4,134.54
2024-02-23,P009,Fortune Sunflower Oil 1L,147.19,147.38,142.34,149.01,148.86,138.83
2024-02-24,P009,Fortune Sunflower Oil 1L,145.1,141.26,141.97,147.84,146.68,129.68
2024-02-25,P009,Fortune Sunflower Oil 1L,141.3,150.1,143.59,154.43,148.79,138.93
2024-02-26,P009,Fortune Sunflower Oil 1L,138.27,150.84,137.72,154.59,147.34,132.3
2024-02-27,P009,Fortune Sunflower Oil 1L,148.03,145.71,139.53,148.97,151.95,131.75
2024-02-28,P009,Fortune Sunflower Oil 1L,138.25,140.3,131.5,143.7,149.74,128.98
