date,product_id,product_name,amazon,flipkart,jiomart,blinkit,zepto,dmart_ready
2024-02-08,P007,Borges Extra Virgin Olive Oil 1L,1523.25,1544.04,1486.07,1564.77,1551.8,1477.23
2024-02-09,P007,Borges Extra Virgin Olive Oil 1L,1523.27,1529.65,1481.75,1566.33,1562.69,1463.5
2024-02-10,P007,Borges Extra Virgin Olive Oil 1L,1512.66,1526.55,1480.71,1566.71,1560.82,1460.06
2024-02-11,P007,Borges Extra Virgin Olive Oil 1L,1497.42,1525.73,1475.86,1549.15,1538.79,1462.99
2024-02-12,P007,Borges Extra Virgin Olive Oil 1L,1545.97,1571.76,1517.51,1591.5,1590.43,1508.9
2024-02-13,P007,Borges Extra Virgin Olive Oil 1L,1529.57,1543.01,1492.37,1585.5,1559.07,1480.72
2024-02-14,P007,Borges Extra Virgin Olive Oil 1L,1550.76,1565.69,1519.96,1597.6,1590.51,1506.78
2024-02-15,P007,Borges Extra Virgin Olive Oil 1L,1544.41,1562.67,1518.49,1605.29,1589.06,1495.41
2024-02-16,P007,Borges Extra Virgin Olive Oil 1L,1534.28,1546.18,1494.73,1584.68,1563.0,1467.81
2024-02-17,P007,Borges Extra Virgin Olive Oil 1L,1518.84,1542.48,1489.33,1575.85,1565.26,1473.22
2024-02-18,P007,Borges Extra Virgin Olive Oil 1L,1537.11,1558.68,1520.32,1599.43,1590.47,1496.52
2024-02-19,P007,Borges Extra Virgin Olive Oil 1L,1518.49,1549.09,1495.02,1571.39,1564.8,1466.69
2024-02-20,P007,Borges Extra Virgin Olive Oil 1L,1491.73,1510.47,1468.5,1541.7,1540.54,1437.81
2024-02-21,P007,Borges Extra Virgin Olive Oil 1L,1505.93,1532.1,1488.69,1565.15,1548.03,1467.38
2024-02-22,P007,Borges Extra Virgin Olive Oil 1L,1557.35,1579.66,1523.45,1608.06,1597.31,1490.97
2024-02-23,P007,Borges Extra Virgin Olive Oil 1L,1511.02,1542.53,1498.56,1576.48,1551.94,1461.03
2024-02-24,P007,Borges Extra Virgin Olive Oil 1L,1445.43,1475.92,1417.42,1502.6,1499.89,1403.54
2024-02-25,P007,Borges Extra Virgin Olive Oil 1L,1533.84,1552.43,1503.32,1585.75,1563.28,1472.26
2024-02-26,P007,Borges Extra Virgin Olive Oil 1L,1525.05,1529.42,1481.35,1572.23,1555.87,1460.57
2024-02-27,P007,Borges Extra Virgin Olive Oil 1L,1540.46,1554.07,1501.57,1595.16,1588.42,1492.36
